,location,iso_code,date,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,CFR,GHSI,WGI,ï..iso_code,continent,Obesity_rate,RS
74,Slovakia,SVK,5/15/2023,14,0,0,0,0,0,0,2.481,0,0,0,0,0,47.9,0.88,SVK,Europe,20.5,NA
51,Liberia,LBR,5/15/2023,13,0,0,0,0.14,0,0,2.452,0.026,0,0,0,0,35.1,-0.04,LBR,Africa,9.9,46
81,Turkey,TUR,5/15/2023,12,0,0,0,0,0,0,0.141,0,0,0,0,0,52.4,-0.83,TUR,Asia,32.1,NA
86,Venezuela,VEN,5/15/2023,12,0,0,0,0,0,0,0.424,0,0,0,0,0,23,-1.41,VEN,South America,25.6,NA
31,Estonia,EST,5/15/2023,11,0,0,0,0,0,0,8.295,0,0,0,0,0,57,1.21,EST,Europe,21.2,NA
11,Bosnia and Herzegovina,BIH,5/15/2023,9,0,0,0,0,0,0,2.783,0,0,0,0,0,42.8,-0.24,BIH,Europe,17.9,NA
23,Cuba,CUB,5/15/2023,8,1,0,0,0,0,0,0.714,0,0,0.08919,0,12.5,35.2,-1.44,CUB,North America,24.6,NA
13,Bulgaria,BGR,5/15/2023,6,0,0,0,0,0,0,0.885,0,0,0,0,0,45.6,0.32,BGR,Europe,25,NA
37,Gibraltar,GIB,5/15/2023,6,0,0,0,0,0,0,183.615,0,0,0,0,0,NA,NA, , ,NA,NA
50,Latvia,LVA,5/15/2023,6,0,0,0,0,0,0,3.242,0,0,0,0,0,62.9,0.81,LVA,Europe,23.6,73
20,Congo,COG,5/15/2023,5,0,0,0,0,0,0,0.837,0,0,0,0,0,23.6,-1.18,COG,Africa,9.6,28
25,Cyprus,CYP,5/15/2023,5,0,0,0,0,0,0,5.58,0,0,0,0,0,43,1.04,CYP,Europe,21.8,NA
52,Lithuania,LTU,5/15/2023,5,0,0,0,0,0,0,1.818,0,0,0,0,0,55,0.92,LTU,Europe,26.3,74
76,South Africa,ZAF,5/15/2023,5,0,0,0,0,0,0,0.083,0,0,0,0,0,54.8,0.66,ZAF,Africa,28.3,62
82,Ukraine,UKR,5/15/2023,5,0,0,0,0,0,0,0.126,0,0,0,0,0,38,-0.01,UKR,Europe,24.1,NA
1,Andorra,AND,5/15/2023,4,0,0,0,0,0,0,50.098,0,0,0,0,0,30.5,1.07,AND,Europe,25.6,NA
3,Aruba,ABW,5/15/2023,3,0,0,0,0,0,0,28.18,0,0,0,0,0,NA,1.31,ABW,North America,NA,NA
8,Benin,BEN,5/15/2023,3,0,0,0,0,0,0,0.225,0,0,0,0,0,28.8,0.27,BEN,Africa,9.6,34
24,Curacao,CUW,5/15/2023,3,0,0,0,0,0,0,15.693,0,0,0,0,0,NA,NA,CUW,North America,NA,NA
57,Monaco,MCO,5/15/2023,3,0,0,0,0,0,0,82.212,0,0,0,0,0,32.7,0.66,MCO,Europe,NA,NA
63,Pakistan,PAK,5/15/2023,3,0,0,0,0,0,0,0.013,0,0,0,0,0,35.5,-0.8,PAK,Asia,8.6,50
5,Bahamas,BHS,5/15/2023,2,0,0,0,0,0,0,4.878,0,0,0,0,0,30.6,0.8,BHS,North America,31.6,NA
